Case Number,Pre Buyout Disclosure Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Block Address,ZIP Code,Supervisor District,Analysis Neighborhood,the_geom,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,:@computed_region_fyvs_ahh9,:@computed_region_p5aj_wyqh,:@computed_region_rxqg_mtj9,:@computed_region_yftq_j783,:@computed_region_bh8s_q3mv,:@computed_region_6pnf_4xz7,:@computed_region_6ezc_tdp2,:@computed_region_viu7_rrfi,:@computed_region_n4xg_c4py
B173035,12/05/2017,06/08/2018,25000.00,false,false,1,400 Block of Sanchez Street,94114,8,Castro/Upper Market,"(37.76155077358178, -122.4306808591215)",38,3,5,5,3,4,5,15,28862,1,,,
B172302,09/12/2017,06/08/2018,65000.00,false,false,2,100 Block of Buchanan Street,94102,5,Hayes Valley,"(37.771117695122186, -122.42694351366245)",27,7,11,9,10,9,11,7,28852,1,,,
B181204,04/11/2018,06/06/2018,8000.00,false,false,1,300 Block of Warren Drive,94131,7,Inner Sunset,"(37.75560076511, -122.46127617748563)",111,7,8,14,12,5,4,1,63,1,,,
B180640,03/02/2018,06/05/2018,26000.00,false,false,1,400 Block of Monterey Boulevard,94127,7,West of Twin Peaks,"(37.73146036019103, -122.4454441203288)",95,9,8,41,40,7,4,9,59,1,,,
B171103,04/25/2017,06/05/2018,50000.00,false,false,2,500 Block of Sanchez Street,94114,8,Castro/Upper Market,"(37.75995321392863, -122.43052767189606)",52,3,5,5,3,4,5,2,28862,1,,,
B170613,03/07/2017,06/05/2018,17964.80,false,false,3,300 Block of San Jose Avenue,94110,8,Mission,"(37.74941061779481, -122.42126872073914)",53,3,5,20,19,4,5,2,28859,1,,,
B181717,05/30/2018,06/05/2018,16544.83,false,false,1,1300 Block of Stevenson Street,94103,6,Mission,"(37.770783954072236, -122.42159610332459)",32,1,10,20,19,2,9,8,28853,2,,,
B181732,,06/01/2018,50000.00,false,false,2,200 Block of Lincoln Way,94122,5,Inner Sunset,"(37.766087774671476, -122.46055272384265)",109,7,11,14,12,5,11,15,29492,1,,,
B180666,03/08/2018,06/01/2018,15000.00,false,true,2,300 Block of Melrose Avenue,94127,7,West of Twin Peaks,"(37.733857780460404, -122.45080878137028)",72,9,8,41,40,7,4,9,59,1,,,
B181039,04/02/2018,06/01/2018,35000.00,false,false,2,800 Block of Hampshire Street,94110,9,Potrero Hill,"(37.75851219968846, -122.40776134003491)",53,3,2,20,19,4,7,10,28859,2,,,
B181130,04/04/2018,06/01/2018,30000.00,false,false,1,800 Block of Hampshire Street,94110,9,Potrero Hill,"(37.75851219968846, -122.40776134003491)",53,3,2,20,19,4,7,10,28859,2,,,
B172456,09/26/2017,06/01/2018,40000.00,false,false,3,700 Block of 39th Avenue,94121,1,Outer Richmond,"(37.774681208482534, -122.49945592176411)",8,8,4,29,26,6,2,11,55,1,,,
B181620,05/23/2018,05/31/2018,6000.00,false,false,2,100 Block of Whipple Avenue,94112,11,Outer Mission,"(37.71193895101753, -122.44905896878515)",66,9,1,28,25,7,6,9,28861,2,,,
B181720,,05/31/2018,,true,false,2,0 Block of San Jacinto Way,94112,7,West of Twin Peaks,"(37.7335715806156, -122.46289420295805)",69,10,8,41,40,8,4,9,59,1,,,
B180668,03/08/2018,05/31/2018,30000.00,false,true,2,300 Block of Connecticut Street,94107,10,Potrero Hill,"(37.76187752147646, -122.39750236417368)",54,2,9,26,29,3,8,10,28856,1,,,
B180499,02/14/2018,05/25/2018,40000.00,false,false,2,0 Block of Mirabel Avenue,94110,9,Bernal Heights,"(37.74641966586264, -122.41645606578861)",83,9,2,2,2,7,7,2,28859,1,,,
B180577,02/22/2018,05/25/2018,25000.00,false,false,1,1500 Block of Clay Street,94109,3,Nob Hill,"(37.79259173757575, -122.41897823312603)",16,6,3,21,21,1,10,5,28858,1,,,
B181770,,05/25/2018,10085.48,false,false,1,700 Block of Green Street,94133,3,Chinatown,"(37.799198389216656, -122.41103088149119)",107,6,3,6,4,1,10,3,308,2,,,
B173030,11/21/2017,05/24/2018,60455.89,false,false,6,800 Block of Colby Street,94134,9,Portola,"(37.71990459066242, -122.41030943249152)",91,2,2,25,28,3,7,9,309,1,,,
B172391,09/15/2017,05/24/2018,8000.00,false,false,1,0 Block of Noe Street,94114,8,Castro/Upper Market,"(37.768324129442234, -122.43342123790367)",28,7,5,5,3,5,5,15,28862,1,,,
B180906,03/19/2018,05/23/2018,7500.00,false,false,1,2400 Block of Van Ness Avenue,94109,2,Marina,"(37.798062779245996, -122.42405842434847)",15,4,6,13,17,9,1,13,57,1,,,
B180204,01/25/2018,05/21/2018,22103.00,false,false,1,0 Block of Carmelita Street,94117,8,Haight Ashbury,"(37.77022212721447, -122.43438943209264)",28,7,5,3,9,5,5,15,29492,1,,,
B180056,01/08/2018,05/21/2018,44375.00,false,true,1,500 Block of Vermont Street,94107,10,Potrero Hill,"(37.76275108496149, -122.40424623389376)",54,2,9,26,29,3,8,8,28856,1,,,
B181423,05/07/2018,05/21/2018,7000.00,false,false,2,0 Block of Belvedere Street,94117,5,Haight Ashbury,"(37.76918656767237, -122.4496179271254)",25,7,11,3,9,5,11,15,29492,1,,,
B181299,04/24/2018,05/16/2018,66352.50,false,false,1,1300 Block of Stevenson Street,94103,6,Mission,"(37.770783954072236, -122.42159610332459)",32,1,10,20,19,2,9,8,28853,2,,,
B173033,12/04/2017,05/16/2018,75000.00,false,false,1,0 Block of White Street,94109,3,Russian Hill,"(37.79753548935855, -122.41962845183829)",107,6,3,32,32,1,10,5,28858,1,,,
B173034,12/04/2017,05/16/2018,75000.00,false,false,1,0 Block of White Street,94109,3,Russian Hill,"(37.79753548935855, -122.41962845183829)",107,6,3,32,32,1,10,5,28858,1,,,
B181594,,05/16/2018,73000.00,false,false,1,3100 Block of Broderick Street,94123,2,Marina,"(37.799269149914124, -122.44448565021659)",17,4,6,13,17,9,1,13,57,1,,,
B180670,03/08/2018,05/15/2018,25000.00,false,true,2,400 Block of Alvarado Street,94114,8,Noe Valley,"(37.753944864262486, -122.4309975755464)",52,3,5,22,22,4,5,2,28862,1,,,
B172131,08/18/2017,05/15/2018,50000.00,false,false,2,500 Block of Sanchez Street,94114,8,Castro/Upper Market,"(37.76076056057086, -122.43046631440623)",52,3,5,5,3,4,5,2,28862,1,,,
B180427,02/09/2018,05/15/2018,12562.00,false,false,2,2500 Block of Pine Street,94115,2,Pacific Heights,"(37.78748295174453, -122.43776937092964)",103,4,6,30,27,6,1,13,29490,1,,,
B181211,03/26/2018,05/14/2018,29000.00,false,false,2,700 Block of Foerster Street,94127,7,West of Twin Peaks,"(37.73509219318729, -122.44895992503417)",72,9,8,41,40,7,4,9,59,1,,,
B172371,09/13/2017,05/14/2018,76930.86,false,true,1,1500 Block of Church Street,94131,8,Noe Valley,"(37.74569488925034, -122.42692575783607)",84,9,5,22,22,7,5,2,63,1,,,
B172370,09/13/2017,05/14/2018,63824.09,false,true,1,1500 Block of Church Street,94131,8,Noe Valley,"(37.74569488925034, -122.42692575783607)",84,9,5,22,22,7,5,2,63,1,,,
B172369,09/13/2017,05/14/2018,55845.06,false,true,1,1500 Block of Church Street,94131,8,Noe Valley,"(37.74569488925034, -122.42692575783607)",84,9,5,22,22,7,5,2,63,1,,,
B171927,07/27/2017,05/14/2018,6627.00,false,false,1,0 Block of Inca Lane,94115,5,Western Addition,"(37.783219379276765, -122.42897354100572)",97,4,11,39,41,9,11,7,29490,2,,,
B180044,01/04/2018,05/10/2018,5000.00,false,false,1,700 Block of Green Street,94133,3,Chinatown,"(37.799198389216656, -122.41103088149119)",107,6,3,6,4,1,10,3,308,2,,,
B180116,01/16/2018,05/09/2018,100000.00,false,true,1,400 Block of 3rd Street,94107,6,South of Market,"(37.78149709491144, -122.39616065025051)",32,1,10,34,34,2,9,6,28856,2,,,
B180661,03/05/2018,05/08/2018,30000.00,false,true,5,500 Block of Brussels Street,94134,9,Portola,"(37.725334088073645, -122.40477049328007)",91,2,2,25,28,3,7,10,309,2,,,
B172677,10/20/2017,05/07/2018,55000.00,false,true,1,400 Block of Frederick Street,94117,5,Haight Ashbury,"(37.76642860517518, -122.45210996417875)",29,7,11,3,9,5,11,15,29492,1,,,
B173128,12/21/2017,05/07/2018,61424.78,false,false,3,1300 Block of 3rd Avenue,94122,5,Inner Sunset,"(37.7636193488249, -122.45990804596441)",109,7,11,14,12,5,11,15,56,1,,,
B180196,01/23/2018,05/07/2018,25000.00,false,true,1,0 Block of Raymond Avenue,94134,10,Visitacion Valley,"(37.71224713063888, -122.40422707093535)",75,9,9,40,39,7,8,9,309,2,,,
B180651,03/02/2018,05/07/2018,50000.00,false,false,1,2000 Block of Franklin Street,94109,2,Pacific Heights,"(37.79329229301981, -122.424537680436)",102,4,6,30,27,9,1,13,28858,1,,,
B180349,02/01/2018,05/04/2018,0.00,false,false,1,400 Block of 9th Avenue,94118,1,Inner Richmond,"(37.77991576318578, -122.46735172987015)",5,8,4,11,11,6,2,11,54,1,,,
B181505,,05/03/2018,5000.00,false,false,4,300 Block of Crescent Avenue,94110,9,Bernal Heights,"(37.73491281544263, -122.4184162204905)",61,9,2,2,2,7,7,2,28859,1,,,
B180908,03/22/2018,05/02/2018,16000.00,false,true,2,900 Block of Union Street,94133,3,Russian Hill,"(37.79981026559224, -122.41467264825246)",107,6,3,32,32,1,10,5,308,1,,,
B180578,02/23/2018,05/01/2018,23000.00,false,true,1,500 Block of Connecticut Street,94107,10,Potrero Hill,"(37.758696595866944, -122.39705709598189)",54,2,9,26,29,3,8,10,28856,2,,,
B180189,01/22/2018,05/01/2018,30000.00,false,true,1,600 Block of 14th Avenue,94118,1,Outer Richmond,"(37.775908408470585, -122.47257216711465)",5,8,4,29,26,6,2,11,54,1,,,
B180187,01/22/2018,05/01/2018,200000.00,false,false,2,600 Block of 14th Avenue,94118,1,Outer Richmond,"(37.775908408470585, -122.47257216711465)",5,8,4,29,26,6,2,11,54,1,,,
B180582,02/23/2018,04/27/2018,17500.00,false,false,1,1000 Block of Washington Street,94108,3,Nob Hill,"(37.794606398081015, -122.41029457116407)",16,6,3,21,21,1,10,3,28857,1,,,
B180494,02/13/2018,04/27/2018,40000.00,false,false,3,1000 Block of De Haro Street,94107,10,Potrero Hill,"(37.75591088577174, -122.40067862727109)",54,2,9,26,29,3,8,10,28856,2,,,
B180409,02/05/2018,04/26/2018,49600.00,false,true,2,2600 Block of Post Street,94115,5,Presidio Heights,"(37.783652064121775, -122.44534902199196)",103,8,11,31,31,6,11,15,29490,1,,,
B180115,01/16/2018,04/25/2018,52122.80,false,false,2,1800 Block of 14th Avenue,94122,7,Inner Sunset,"(37.75343058868541, -122.4712508793814)",44,10,8,14,12,8,4,1,56,1,,,
B180652,03/02/2018,04/25/2018,20762.77,false,false,1,3600 Block of 20th Street,94110,8,Mission,"(37.75848630391958, -122.42238538310203)",37,3,5,20,19,4,5,2,28859,1,,,
B172871,11/13/2017,04/25/2018,58050.00,false,false,1,300 Block of 26th Avenue,94121,1,Outer Richmond,"(37.78290069384711, -122.48608609195831)",8,8,4,29,26,6,2,11,55,2,,,
B180574,02/21/2018,04/24/2018,22500.00,false,true,2,1400 Block of 41st Avenue,94122,4,Sunset/Parkside,"(37.759724583594156, -122.50057075190412)",39,10,7,35,35,8,3,1,56,1,,,
B171872,07/25/2017,04/24/2018,40000.00,false,false,1,900 Block of York Street,94110,9,Mission,"(37.75685705830046, -122.40850627070917)",53,3,2,20,19,4,7,2,28859,2,,,
B173032,12/05/2017,04/24/2018,35000.00,false,true,1,1900 Block of 18th Avenue,94116,7,Inner Sunset,"(37.75149354876977, -122.47514241231458)",44,10,8,14,12,8,4,1,29491,1,,,
B181298,,04/23/2018,41326.70,false,false,1,100 Block of Divisadero Street,94117,8,Haight Ashbury,"(37.769663479461, -122.43678698852462)",112,7,5,3,9,5,5,15,29492,1,,,
B180516,02/16/2018,04/20/2018,25000.00,false,false,2,100 Block of Skyview Way,94131,7,Twin Peaks,"(37.75262655539065, -122.44985165402856)",48,7,8,38,38,5,4,1,63,1,,,
B181289,,04/20/2018,17857.50,false,false,2,1800 Block of Golden Gate Avenue,94115,5,Western Addition,"(37.778351287940126, -122.44102844905092)",97,7,11,39,41,5,11,15,29490,1,,,
B170758,02/27/2017,04/19/2018,13619.73,false,true,1,1900 Block of San Jose Avenue,94112,11,Outer Mission,"(37.725359913520364, -122.4426690879814)",94,9,1,28,25,7,6,9,28861,1,,,
B170756,02/27/2017,04/19/2018,15715.06,false,false,1,1900 Block of San Jose Avenue,94112,11,Outer Mission,"(37.725359913520364, -122.4426690879814)",94,9,1,28,25,7,6,9,28861,1,,,
B181230,,04/18/2018,60000.00,false,false,4,4400 Block of California Street,94118,1,Inner Richmond,"(37.78497742019531, -122.46511370838707)",4,8,4,11,11,6,2,11,54,1,,,
B181229,,04/18/2018,30000.00,false,false,2,1900 Block of Vicente Street,94116,4,Sunset/Parkside,"(37.73883618535943, -122.48775570444967)",40,10,7,35,35,8,3,1,29491,1,,,
B181223,04/18/2018,04/18/2018,15000.00,false,false,3,2600 Block of San Jose Avenue,94112,11,Oceanview/Merced/Ingleside,"(37.71482397119467, -122.45161266512376)",81,10,1,24,24,8,6,9,28861,2,,,
B181219,,04/16/2018,40000.00,false,true,1,2700 Block of Folsom Street,94110,9,Mission,"(37.753298447582864, -122.41422876373993)",53,3,2,20,19,4,7,2,28859,2,,,
B180257,01/31/2018,04/16/2018,27100.00,false,false,2,2700 Block of Hyde Street,94109,2,Russian Hill,"(37.80618023263787, -122.4205328473653)",98,6,6,32,32,1,1,5,28858,1,,,
B180256,01/30/2018,04/16/2018,40000.00,false,true,3,0 Block of Cragmont Avenue,94116,7,Inner Sunset,"(37.74990932063599, -122.46737294704238)",44,10,8,14,12,8,4,1,29491,1,,,
B172602,10/17/2017,04/11/2018,52000.00,false,true,1,800 Block of 30th Avenue,94121,1,Outer Richmond,"(37.773255461614156, -122.48967873349997)",8,8,4,29,26,6,2,11,55,1,,,
B180258,01/31/2018,04/10/2018,16600.00,false,true,1,1200 Block of 35th Avenue,94122,4,Sunset/Parkside,"(37.76374916068013, -122.49426738312347)",39,10,7,35,35,8,3,1,56,1,,,
B180048,01/05/2018,04/09/2018,12000.00,false,true,1,600 Block of Mount Vernon Avenue,94112,11,Oceanview/Merced/Ingleside,"(37.71923879398598, -122.45037742144991)",81,10,1,24,24,8,6,9,28861,2,,,
B172301,09/11/2017,04/09/2018,45670.00,false,false,1,700 Block of 15th Avenue,94118,1,Outer Richmond,"(37.773998348097564, -122.47342632383703)",5,8,4,29,26,6,2,11,54,1,,,
B170339,02/16/2017,04/09/2018,23788.40,false,false,2,2300 Block of Pacific Avenue,94115,2,Pacific Heights,"(37.79350664976406, -122.43392204777157)",102,4,6,30,27,9,1,13,29490,1,,,
B180356,02/06/2018,04/09/2018,15000.00,false,false,2,2200 Block of 47th Avenue,94116,4,Sunset/Parkside,"(37.744529290666115, -122.50582192946192)",39,10,7,35,35,8,3,1,29491,1,,,
B172398,09/20/2017,04/05/2018,100000.00,false,false,1,0 Block of Rayburn Street,94114,8,Castro/Upper Market,"(37.756653170899256, -122.43187731022093)",52,3,5,5,3,4,5,2,28862,1,,,
B172399,09/20/2017,04/05/2018,50000.00,false,false,1,400 Block of Liberty Street,94114,8,Castro/Upper Market,"(37.75698261905884, -122.4321215957224)",52,3,5,5,3,4,5,2,28862,1,,,
B171936,07/28/2017,04/04/2018,28500.00,false,false,2,1500 Block of 29th Avenue,94122,4,Sunset/Parkside,"(37.7584241160417, -122.48758337799015)",39,10,7,35,35,8,3,1,56,1,,,
B180504,02/15/2018,04/03/2018,11000.00,false,false,1,100 Block of Waverly Place,94108,3,Chinatown,"(37.79464645436576, -122.40684267158974)",104,6,3,6,4,1,10,3,28857,2,,,
B181109,04/03/2018,04/03/2018,20000.00,false,false,2,400 Block of 32nd Avenue,94121,1,Outer Richmond,"(37.78071502407725, -122.4922346348842)",8,8,4,29,26,6,2,11,55,2,,,
B180118,01/16/2018,04/03/2018,23500.00,false,false,2,2000 Block of Franklin Street,94109,2,Pacific Heights,"(37.79329229301981, -122.424537680436)",102,4,6,30,27,9,1,13,28858,1,,,
B180119,01/17/2018,04/03/2018,60000.00,false,false,1,1900 Block of Page Street,94117,5,Haight Ashbury,"(37.77015219103969, -122.45287998971888)",25,7,11,3,9,5,11,15,29492,1,,,
B180352,02/05/2018,04/02/2018,11516.00,false,false,1,700 Block of Huron Avenue,94112,11,Outer Mission,"(37.711379707324426, -122.45034108438057)",66,9,1,28,25,7,6,9,28861,2,,,
B172083,08/15/2017,04/02/2018,235000.00,false,false,4,1500 Block of Fulton Street,94117,5,Lone Mountain/USF,"(37.776276302674454, -122.44229944730586)",24,7,11,18,16,5,11,15,29492,1,,,
B172671,10/18/2017,04/02/2018,0.00,false,false,1,2400 Block of Union Street,94123,2,Marina,"(37.79651171135198, -122.43958961288833)",14,4,6,13,17,9,1,13,57,1,,,
B173020,11/29/2017,04/02/2018,15000.00,false,false,2,2200 Block of Turk Street,94118,2,Lone Mountain/USF,"(37.778847322838395, -122.44570168116236)",13,7,6,18,16,5,1,15,54,1,,,
B180502,02/15/2018,04/02/2018,15000.00,false,true,1,300 Block of Eureka Street,94114,8,Castro/Upper Market,"(37.75668747611818, -122.43795020922325)",115,3,5,5,3,4,5,2,28862,1,,,
B180114,01/12/2018,03/29/2018,10000.00,false,true,1,0 Block of Bishop Street,94134,10,Visitacion Valley,"(37.71847924527194, -122.40431855442075)",75,9,9,40,39,7,8,10,309,2,,,
B172920,11/15/2017,03/28/2018,30000.00,false,true,2,1200 Block of Jones Street,94109,3,Nob Hill,"(37.79301225091248, -122.41435763927312)",16,6,3,21,21,1,10,5,28857,1,,,
B172797,11/03/2017,03/28/2018,62000.00,false,true,2,200 Block of Castro Street,94114,8,Castro/Upper Market,"(37.764518504077714, -122.43528751820297)",28,7,5,5,3,5,5,15,28862,1,,,
B180925,,03/27/2018,18500.00,false,false,2,2900 Block of Pine Street,94115,2,Presidio Heights,"(37.78664014562665, -122.44439510428471)",103,8,6,31,31,6,1,15,29490,1,,,
B180918,,03/23/2018,20833.33,false,false,3,2800 Block of 16th Street,94103,9,Mission,"(37.76527108503434, -122.41694230808571)",53,3,2,20,19,4,7,8,28853,2,,,
B180921,,03/23/2018,20833.34,false,false,8,2800 Block of 16th Street,94103,9,Mission,"(37.76527108503434, -122.41694230808571)",53,3,2,20,19,4,7,8,28853,2,,,
B180920,,03/23/2018,20833.34,false,false,4,2800 Block of 16th Street,94103,9,Mission,"(37.76527108503434, -122.41694230808571)",53,3,2,20,19,4,7,8,28853,2,,,
B180919,,03/23/2018,20833.33,false,false,6,2800 Block of 16th Street,94103,9,Mission,"(37.76527108503434, -122.41694230808571)",53,3,2,20,19,4,7,8,28853,2,,,
B180916,,03/23/2018,20833.33,false,false,2,2800 Block of 16th Street,94103,9,Mission,"(37.76527108503434, -122.41694230808571)",53,3,2,20,19,4,7,8,28853,2,,,
B180917,,03/23/2018,20833.33,false,false,2,2800 Block of 16th Street,94103,9,Mission,"(37.76527108503434, -122.41694230808571)",53,3,2,20,19,4,7,8,28853,2,,,
B180253,01/29/2018,03/20/2018,,true,false,2,1700 Block of Sacramento Street,94109,3,Nob Hill,"(37.791446621816604, -122.42170492468166)",105,4,3,21,21,9,10,13,28858,1,,,
B173031,12/05/2017,03/20/2018,18000.00,false,false,1,1900 Block of 18th Avenue,94116,7,Inner Sunset,"(37.75149354876977, -122.47514241231458)",44,10,8,14,12,8,4,1,29491,1,,,
B172955,11/27/2017,03/19/2018,24000.00,false,false,1,300 Block of Sweeny Street,94134,9,Portola,"(37.73179972918755, -122.4120211729371)",91,2,2,25,28,3,7,9,309,2,,,
B180207,01/25/2018,03/19/2018,9995.00,false,false,2,200 Block of 19th Avenue,94121,1,Outer Richmond,"(37.78323802560138, -122.47858026249517)",8,8,4,29,26,6,2,11,55,2,,,
B172919,11/15/2017,03/16/2018,20000.00,false,true,2,1200 Block of Jones Street,94109,3,Nob Hill,"(37.79301225091248, -122.41435763927312)",16,6,3,21,21,1,10,5,28857,1,,,
B180743,03/13/2018,03/13/2018,25000.00,false,false,2,200 Block of Downey Street,94117,5,Haight Ashbury,"(37.76541825789241, -122.4467836390964)",114,7,11,3,9,5,11,15,29492,1,,,
B180061,01/10/2018,03/13/2018,26000.00,false,false,1,0 Block of Hattie Street,94114,8,Castro/Upper Market,"(37.76137797864904, -122.44094394297154)",115,7,5,5,3,5,5,15,28862,1,,,
B180039,01/02/2018,03/13/2018,12100.00,false,true,5,900 Block of Le Conte Avenue,94124,10,Bayview Hunters Point,"(37.718063858065285, -122.39600411588796)",88,2,9,1,1,3,8,10,58,1,,,
B172531,10/03/2017,03/07/2018,80000.00,false,true,1,1600 Block of Beach Street,94123,2,Marina,"(37.804693684724285, -122.43627880206397)",17,4,6,13,17,9,1,13,57,1,,,
B180122,01/18/2018,03/06/2018,24349.00,false,false,1,800 Block of Sanchez Street,94114,8,Noe Valley,"(37.75596229121769, -122.43000762529809)",52,3,5,22,22,4,5,2,28862,1,,,
B172910,11/13/2017,03/06/2018,45888.00,false,false,3,2300 Block of 37th Avenue,94116,4,Sunset/Parkside,"(37.74313150734947, -122.49511341545082)",39,10,7,35,35,8,3,1,29491,1,,,
B180252,01/29/2018,03/05/2018,11515.00,false,false,2,800 Block of 26th Avenue,94121,1,Outer Richmond,"(37.77345091966933, -122.48539872790764)",8,8,4,29,26,6,2,11,55,1,,,
B173041,12/08/2017,03/02/2018,30000.00,false,true,6,100 Block of Day Street,94131,8,Noe Valley,"(37.74302082345281, -122.42545698921835)",84,9,5,22,22,7,5,2,63,1,,,
B172957,11/27/2017,03/01/2018,85000.00,false,false,2,700 Block of Clipper Street,94114,8,Noe Valley,"(37.74869651396314, -122.44044923887064)",51,3,5,22,22,4,5,2,28862,1,,,
B180045,01/04/2018,02/28/2018,20872.74,false,false,2,2200 Block of Leavenworth Street,94133,3,Russian Hill,"(37.801494790488384, -122.41776953456399)",107,6,3,32,32,1,10,5,308,1,,,
B172544,10/11/2017,02/26/2018,20000.00,false,false,1,400 Block of Hugo Street,94122,5,Inner Sunset,"(37.76519284407125, -122.46263551244299)",109,7,11,14,12,5,11,11,56,1,,,
B173044,12/08/2017,02/26/2018,10000.00,false,false,2,400 Block of Broadway Street,94133,3,North Beach,"(37.79822493438695, -122.40428249739492)",106,6,3,23,23,1,10,3,308,2,,,
B153322,12/01/2015,02/23/2018,20000.00,false,false,2,1600 Block of Green Street,94123,2,Marina,"(37.79725002244171, -122.42624761880306)",102,4,6,13,17,9,1,13,57,1,,,
B172950,11/21/2017,02/23/2018,90000.00,false,true,1,1800 Block of Grant Avenue,94133,3,North Beach,"(37.804155101094366, -122.40822031294562)",18,6,3,23,23,1,10,3,308,1,,,
B172915,11/13/2017,02/21/2018,5563.48,false,false,2,600 Block of Bosworth Street,94131,8,West of Twin Peaks,"(37.73352721661692, -122.43460360923336)",96,9,5,41,40,7,5,9,63,1,,,
B170831,03/28/2017,02/16/2018,62250.00,false,false,1,100 Block of Ellis Street,94102,3,Tenderloin,"(37.78549414268011, -122.40827072460648)",19,5,3,36,36,10,10,14,28852,2,1,,
B172530,10/04/2017,02/16/2018,70000.00,false,false,1,500 Block of Pierce Street,94117,5,Hayes Valley,"(37.77493768891871, -122.43445713828297)",23,4,11,9,10,5,11,15,29492,1,,,
B170830,03/28/2017,02/16/2018,62250.00,false,false,2,100 Block of Ellis Street,94102,3,Tenderloin,"(37.78549414268011, -122.40827072460648)",19,5,3,36,36,10,10,14,28852,2,1,,
B180354,02/05/2018,02/12/2018,11200.00,false,false,4,2900 Block of Mission Street,94110,9,Mission,"(37.74984462224995, -122.41814258315732)",53,3,2,20,19,4,7,2,28859,2,,,
B172918,11/15/2017,02/12/2018,63300.00,false,false,1,2200 Block of Pine Street,94115,2,Pacific Heights,"(37.78816109140878, -122.43242538124397)",102,4,6,30,27,9,1,13,29490,1,,,
B180355,02/05/2018,02/12/2018,5100.00,false,false,1,2900 Block of Mission Street,94110,9,Mission,"(37.74984462224995, -122.41814258315732)",53,3,2,20,19,4,7,2,28859,2,,,
B180430,02/12/2018,02/12/2018,15000.00,false,false,1,200 Block of Carl Street,94117,5,Inner Sunset,"(37.765392124780874, -122.45359219911221)",110,7,11,14,12,5,11,15,29492,1,,,
B172806,11/07/2017,02/08/2018,77700.00,false,false,1,4700 Block of 18th Street,94114,8,Castro/Upper Market,"(37.75995194127426, -122.44393506268442)",115,3,5,5,3,4,5,2,28862,1,,,
B173049,12/11/2017,02/06/2018,7000.00,false,true,1,3400 Block of 21st Street,94110,8,Mission,"(37.75677253087283, -122.42418316650549)",52,3,5,20,19,4,5,2,28859,1,,,
B173113,12/15/2017,02/02/2018,10000.00,false,true,1,1600 Block of Lyon Street,94115,2,Presidio Heights,"(37.786023494495936, -122.4450458397823)",103,8,6,31,31,6,1,15,29490,1,,,
B161590,05/11/2016,02/02/2018,140000.00,false,false,2,0 Block of Chattanooga Street,94114,8,Noe Valley,"(37.755765606607845, -122.42664161534017)",52,3,5,22,22,4,5,2,28862,1,,,
B171859,07/20/2017,02/01/2018,,true,false,3,800 Block of 22nd Street,94107,10,Potrero Hill,"(37.75790953442971, -122.3897343776665)",55,2,9,26,29,3,8,10,28856,1,,,
B172956,11/27/2017,01/31/2018,138000.00,false,true,2,400 Block of Bryant Street,94107,6,Financial District/South Beach,"(37.7826776233016, -122.39422265172959)",32,1,10,8,6,2,9,6,28856,1,,,
B171864,07/21/2017,01/30/2018,56500.00,false,false,1,2700 Block of Diamond Street,94131,8,Glen Park,"(37.73478615266622, -122.4338504823844)",96,9,5,10,7,7,5,2,63,1,,,
B172870,11/13/2017,01/30/2018,17900.00,false,false,1,300 Block of 26th Avenue,94121,1,Outer Richmond,"(37.78290069384711, -122.48608609195831)",8,8,4,29,26,6,2,11,55,2,,,
B172909,11/13/2017,01/29/2018,50000.00,false,false,1,900 Block of Stanyan Street,94117,5,Haight Ashbury,"(37.76591718400751, -122.45278441320573)",29,7,11,3,9,5,11,15,29492,1,,,
B173029,12/04/2017,01/29/2018,25000.00,false,false,2,0 Block of Exeter Street,94124,10,Bayview Hunters Point,"(37.72215346958928, -122.39861132843404)",88,2,9,1,1,3,8,10,58,2,,,
B172453,09/25/2017,01/26/2018,31849.00,false,false,4,1200 Block of Ortega Street,94122,4,Sunset/Parkside,"(37.75240869461712, -122.47685744334778)",39,10,7,35,35,8,3,1,56,1,,,
B172303,09/12/2017,01/26/2018,14200.00,false,true,1,100 Block of Lake Merced Hill Street South,94132,7,Lakeshore,"(37.71059152279304, -122.4839900407717)",43,10,8,16,14,8,4,1,64,2,,,
B172721,10/26/2017,01/25/2018,20000.00,false,true,2,200 Block of Monterey Boulevard,94131,7,West of Twin Peaks,"(37.73168068236128, -122.44088441290504)",95,9,8,41,40,7,4,9,63,1,,,
B172800,11/03/2017,01/22/2018,24500.00,false,false,1,3900 Block of Washington Street,94118,2,Presidio Heights,"(37.78859664797011, -122.4583217451656)",10,8,6,31,31,6,1,11,54,1,,,
B173037,12/05/2017,01/22/2018,6458.00,false,false,1,1900 Block of Oakdale Avenue,94124,10,Bayview Hunters Point,"(37.73827072874611, -122.39691750260594)",87,2,9,1,1,3,8,10,58,2,,,
B172199,08/29/2017,01/17/2018,32000.00,false,false,2,1200 Block of Alemany Boulevard,94112,8,Outer Mission,"(37.7303399204221, -122.43238516278505)",94,9,5,28,25,7,5,9,28861,1,,,
B173039,12/06/2017,01/17/2018,6500.00,false,true,1,100 Block of Maynard Street,94112,11,Excelsior,"(37.72939514948723, -122.4271509655655)",94,9,1,7,5,7,6,9,28861,2,,,
