Case Number,Pre Buyout Disclosure Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Block Address,ZIP Code,Supervisor District,Analysis Neighborhood,the_geom,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,:@computed_region_fyvs_ahh9,:@computed_region_p5aj_wyqh,:@computed_region_rxqg_mtj9,:@computed_region_yftq_j783,:@computed_region_bh8s_q3mv,:@computed_region_6pnf_4xz7,:@computed_region_6ezc_tdp2,:@computed_region_viu7_rrfi,:@computed_region_n4xg_c4py
B150602,03/18/2015,07/10/2015,26300.00,false,false,4,1700 Block of Haight Street,94117,5,Haight Ashbury,"(37.76939812347932, -122.45127697689047)",25,7,11,3,9,5,11,15,29492,1,,,
B151296,05/21/2015,07/07/2015,9000.00,false,false,2,0 Block of Mangels Avenue,94131,8,West of Twin Peaks,"(37.7330288668699, -122.4392857594092)",95,9,5,41,40,7,5,9,63,1,,,
B150601,03/18/2015,07/07/2015,30000.00,false,false,1,3900 Block of Cabrillo Street,94121,1,Outer Richmond,"(37.77373216734446, -122.50092850808991)",8,8,4,29,26,6,2,11,55,1,,,
B150692,03/31/2015,07/06/2015,310000.00,false,false,3,1000 Block of South Van Ness Avenue,94110,9,Mission,"(37.756363299801656, -122.41671210062687)",53,3,2,20,19,4,7,2,28859,2,,,
B150693,03/31/2015,07/06/2015,20000.00,false,false,2,200 Block of Chestnut Street,94133,3,North Beach,"(37.80441024558558, -122.4075351837816)",18,6,3,23,23,1,10,3,308,1,,,
B150996,04/23/2015,07/06/2015,50400.00,false,false,1,500 Block of Clayton Street,94117,5,Haight Ashbury,"(37.770273091637705, -122.44860504754107)",25,7,11,3,9,5,11,15,29492,1,,,
B151113,05/05/2015,07/03/2015,15000.00,false,false,1,0 Block of States Street,94114,8,Castro/Upper Market,"(37.7634100550694, -122.43906507196981)",113,7,5,5,3,5,5,15,28862,1,,,
B151602,,07/02/2015,70000.00,false,true,4,200 Block of 4th Avenue,94118,1,Inner Richmond,"(37.783975803643855, -122.46227844344496)",5,8,4,11,11,6,2,11,54,1,,,
B150843,04/15/2015,06/29/2015,15000.00,false,true,2,100 Block of Noe Street,94114,8,Castro/Upper Market,"(37.76625767774476, -122.43336268256967)",28,7,5,5,3,5,5,15,28862,1,,,
B151129,05/07/2015,06/29/2015,27422.00,false,false,2,400 Block of Vallejo Street,94133,3,North Beach,"(37.799081056607, -122.40433193336962)",106,6,3,23,23,1,10,3,308,2,,,
B151057,04/30/2015,06/25/2015,10000.00,false,false,2,1900 Block of Sacramento Street,94109,2,Pacific Heights,"(37.791032114342286, -122.42499266527234)",102,4,6,30,27,9,1,13,28858,1,,,
B150772,04/09/2015,06/25/2015,3000.00,false,false,2,0 Block of Terra Vista Avenue,94115,2,Lone Mountain/USF,"(37.78155531176855, -122.44255898310887)",13,7,6,18,16,5,1,15,29490,1,,,
B151550,,06/24/2015,38000.00,false,true,2,700 Block of Green Street,94133,3,Chinatown,"(37.79917162398874, -122.41212310028173)",107,6,3,6,4,1,10,3,308,2,,,
B151058,04/30/2015,06/22/2015,45000.00,false,false,1,100 Block of 4th Avenue,94118,2,Inner Richmond,"(37.78602013370176, -122.4624248956753)",4,8,6,11,11,6,1,11,54,1,,,
B151516,,06/17/2015,80000.00,false,true,1,2900 Block of Cesar Chavez Street,94110,9,Bernal Heights,"(37.74823739361146, -122.4091747161462)",60,3,2,2,2,4,7,2,28859,1,,,
B151517,,06/17/2015,45000.00,false,false,3,300 Block of Russia Avenue,94112,11,Excelsior,"(37.720206790088156, -122.43442066998058)",90,9,1,7,5,7,6,9,28861,2,,,
